,Survived,Pclass,Sex,Age,Fare,Embarked,SP
683,0,3,male,14.0,46.9,S,7
684,0,2,male,60.0,39.0,S,2
685,0,2,male,25.0,41.5792,C,3
686,0,3,male,14.0,39.6875,S,5
687,0,3,male,19.0,10.1708,S,0
688,0,3,male,18.0,7.7958,S,0
689,1,1,female,15.0,211.3375,S,1
690,1,1,male,31.0,57.0,S,1
691,1,3,female,4.0,13.4167,C,1
692,1,3,male,26.0,56.4958,S,0
693,0,3,male,25.0,7.225,C,0
694,0,1,male,60.0,26.55,S,0
695,0,2,male,52.0,13.5,S,0
696,0,3,male,44.0,8.05,S,0
697,1,3,female,18.0,7.7333,Q,0
698,0,1,male,49.0,110.8833,C,2
699,0,3,male,42.0,7.65,S,0
700,1,1,female,18.0,227.525,C,1
701,1,1,male,35.0,26.2875,S,0
702,0,3,female,18.0,14.4542,C,1
703,0,3,male,25.0,7.7417,Q,0
704,0,3,male,26.0,7.8542,S,1
705,0,2,male,39.0,26.0,S,0
706,1,2,female,45.0,13.5,S,0
707,1,1,male,42.0,26.2875,S,0
708,1,1,female,22.0,151.55,S,0
709,1,3,male,4.0,15.2458,C,2
710,1,1,female,24.0,49.5042,C,0
711,0,1,male,40.0,26.55,S,0
712,1,1,male,48.0,52.0,S,1
713,0,3,male,29.0,9.4833,S,0
714,0,2,male,52.0,13.0,S,0
715,0,3,male,19.0,7.65,S,0
716,1,1,female,38.0,227.525,C,0
717,1,2,female,27.0,10.5,S,0
718,0,3,male,26.0,15.5,Q,0
719,0,3,male,33.0,7.775,S,0
720,1,2,female,6.0,33.0,S,1
721,0,3,male,17.0,7.0542,S,1
722,0,2,male,34.0,13.0,S,0
723,0,2,male,50.0,13.0,S,0
724,1,1,male,27.0,53.1,S,1
725,0,3,male,20.0,8.6625,S,0
726,1,2,female,30.0,21.0,S,3
727,1,3,female,18.0,7.7375,Q,0
728,0,2,male,25.0,26.0,S,1
729,0,3,female,25.0,7.925,S,1
730,1,1,female,29.0,211.3375,S,0
731,0,3,male,11.0,18.7875,C,0
732,0,2,male,31.0,0.0,S,0
733,0,2,male,23.0,13.0,S,0
734,0,2,male,23.0,13.0,S,0
735,0,3,male,28.5,16.1,S,0
736,0,3,female,48.0,34.375,S,4
737,1,1,male,35.0,512.3292,C,0
738,0,3,male,26.0,7.8958,S,0
739,0,3,male,26.0,7.8958,S,0
740,1,1,male,40.0,30.0,S,0
741,0,1,male,36.0,78.85,S,1
742,1,1,female,21.0,262.375,C,4
743,0,3,male,24.0,16.1,S,1
744,1,3,male,31.0,7.925,S,0
745,0,1,male,70.0,71.0,S,2
746,0,3,male,16.0,20.25,S,2
747,1,2,female,30.0,13.0,S,0
748,0,1,male,19.0,53.1,S,1
749,0,3,male,31.0,7.75,Q,0
750,1,2,female,4.0,23.0,S,2
751,1,3,male,6.0,12.475,S,1
752,0,3,male,33.0,9.5,S,0
753,0,3,male,23.0,7.8958,S,0
754,1,2,female,48.0,65.0,S,3
755,1,2,male,0.67,14.5,S,2
756,0,3,male,28.0,7.7958,S,0
757,0,2,male,18.0,11.5,S,0
758,0,3,male,34.0,8.05,S,0
759,1,1,female,33.0,86.5,S,0
760,0,3,male,26.0,14.5,S,0
761,0,3,male,41.0,7.125,S,0
762,1,3,male,20.0,7.2292,C,0
763,1,1,female,36.0,120.0,S,3
764,0,3,male,16.0,7.775,S,0
765,1,1,female,51.0,77.9583,S,1
766,0,1,male,46.5,39.6,C,0
767,0,3,female,30.5,7.75,Q,0
768,0,3,male,26.0,24.15,Q,1
769,0,3,male,32.0,8.3625,S,0
770,0,3,male,24.0,9.5,S,0
771,0,3,male,48.0,7.8542,S,0
772,0,2,female,57.0,10.5,S,0
773,0,3,male,26.0,7.225,C,0
774,1,2,female,54.0,23.0,S,4
775,0,3,male,18.0,7.75,S,0
776,0,3,male,26.0,7.75,Q,0
777,1,3,female,5.0,12.475,S,0
778,0,3,male,26.0,7.7375,Q,0
779,1,1,female,43.0,211.3375,S,1
780,1,3,female,13.0,7.2292,C,0
781,1,1,female,17.0,57.0,S,1
782,0,1,male,29.0,30.0,S,0
783,0,3,male,26.0,23.45,S,3
784,0,3,male,25.0,7.05,S,0
785,0,3,male,25.0,7.25,S,0
786,1,3,female,18.0,7.4958,S,0
787,0,3,male,8.0,29.125,Q,5
788,1,3,male,1.0,20.575,S,3
789,0,1,male,46.0,79.2,C,0
790,0,3,male,26.0,7.75,Q,0
791,0,2,male,16.0,26.0,S,0
792,0,3,female,18.0,69.55,S,10
793,0,1,male,40.0,30.6958,C,0
794,0,3,male,25.0,7.8958,S,0
795,0,2,male,39.0,13.0,S,0
796,1,1,female,49.0,25.9292,S,0
797,1,3,female,31.0,8.6833,S,0
798,0,3,male,30.0,7.2292,C,0
799,0,3,female,30.0,24.15,S,2
800,0,2,male,34.0,13.0,S,0
801,1,2,female,31.0,26.25,S,2
802,1,1,male,11.0,120.0,S,3
803,1,3,male,0.42,8.5167,C,1
804,1,3,male,27.0,6.975,S,0
805,0,3,male,31.0,7.775,S,0
806,0,1,male,39.0,0.0,S,0
807,0,3,female,18.0,7.775,S,0
808,0,2,male,39.0,13.0,S,0
809,1,1,female,33.0,53.1,S,1
810,0,3,male,26.0,7.8875,S,0
811,0,3,male,39.0,24.15,S,0
812,0,2,male,35.0,10.5,S,0
813,0,3,female,6.0,31.275,S,6
814,0,3,male,30.5,8.05,S,0
815,0,1,male,40.0,0.0,S,0
816,0,3,female,23.0,7.925,S,0
817,0,2,male,31.0,37.0042,C,2
818,0,3,male,43.0,6.45,S,0
819,0,3,male,10.0,27.9,S,5
820,1,1,female,52.0,93.5,S,2
821,1,3,male,27.0,8.6625,S,0
822,0,1,male,38.0,0.0,S,0
823,1,3,female,27.0,12.475,S,1
824,0,3,male,2.0,39.6875,S,5
825,0,3,male,26.0,6.95,Q,0
826,0,3,male,26.0,56.4958,S,0
827,1,2,male,1.0,37.0042,C,2
828,1,3,male,26.0,7.75,Q,0
829,1,1,female,62.0,80.0,S,0
830,1,3,female,15.0,14.4542,C,1
831,1,2,male,0.83,18.75,S,2
832,0,3,male,26.0,7.2292,C,0
833,0,3,male,23.0,7.8542,S,0
834,0,3,male,18.0,8.3,S,0
835,1,1,female,39.0,83.1583,C,2
836,0,3,male,21.0,8.6625,S,0
837,0,3,male,26.0,8.05,S,0
838,1,3,male,32.0,56.4958,S,0
839,1,1,male,40.0,29.7,C,0
840,0,3,male,20.0,7.925,S,0
841,0,2,male,16.0,10.5,S,0
842,1,1,female,30.0,31.0,C,0
843,0,3,male,34.5,6.4375,C,0
844,0,3,male,17.0,8.6625,S,0
845,0,3,male,42.0,7.55,S,0
846,0,3,male,26.0,69.55,S,10
847,0,3,male,35.0,7.8958,C,0
848,0,2,male,28.0,33.0,S,1
849,1,1,female,41.5,89.1042,C,1
850,0,3,male,4.0,31.275,S,6
851,0,3,male,74.0,7.775,S,0
852,0,3,female,9.0,15.2458,C,2
853,1,1,female,16.0,39.4,S,1
854,0,2,female,44.0,26.0,S,1
855,1,3,female,18.0,9.35,S,1
856,1,1,female,45.0,164.8667,S,2
857,1,1,male,51.0,26.55,S,0
858,1,3,female,24.0,19.2583,C,3
859,0,3,male,26.0,7.2292,C,0
860,0,3,male,41.0,14.1083,S,2
861,0,2,male,21.0,11.5,S,1
862,1,1,female,48.0,25.9292,S,0
863,0,3,female,18.0,69.55,S,10
864,0,2,male,24.0,13.0,S,0
865,1,2,female,42.0,13.0,S,0
866,1,2,female,27.0,13.8583,C,1
867,0,1,male,31.0,50.4958,S,0
868,0,3,male,26.0,9.5,S,0
869,1,3,male,4.0,11.1333,S,2
870,0,3,male,26.0,7.8958,S,0
871,1,1,female,47.0,52.5542,S,2
872,0,1,male,33.0,5.0,S,0
873,0,3,male,47.0,9.0,S,0
874,1,2,female,28.0,24.0,C,1
875,1,3,female,15.0,7.225,C,0
876,0,3,male,20.0,9.8458,S,0
877,0,3,male,19.0,7.8958,S,0
878,0,3,male,26.0,7.8958,S,0
879,1,1,female,56.0,83.1583,C,1
880,1,2,female,25.0,26.0,S,1
881,0,3,male,33.0,7.8958,S,0
882,0,3,female,22.0,10.5167,S,0
883,0,2,male,28.0,10.5,S,0
884,0,3,male,25.0,7.05,S,0
885,0,3,female,39.0,29.125,Q,5
886,0,2,male,27.0,13.0,S,0
887,1,1,female,19.0,30.0,S,0
888,0,3,female,18.0,23.45,S,3
889,1,1,male,26.0,30.0,C,0
890,0,3,male,32.0,7.75,Q,0
